;ponto_id;lat;lon
0;0;-8.03123861586675;-34.94915692087077
1;3;-8.031238592366611;-34.94915702356696
2;8;-8.031238596783105;-34.94915700426645
3;10;-8.0312386344074;-34.94915683985053
4;12;-8.031238596193251;-34.94915700684417
5;14;-8.031238572217225;-34.949157111623286
6;17;-8.031238594931716;-34.94915701235717
7;19;-8.031238592144812;-34.949157024536255
8;23;-8.031238608277107;-34.94915695403732
9;29;-8.031238596738348;-34.94915700446209
10;30;-8.031238594931716;-34.94915701235717
11;31;-8.031238616243112;-34.94915691922615
12;33;-8.03123857309315;-34.94915710779531
13;36;-8.031238578175575;-34.949157085583984
14;37;-8.031238586033147;-34.94915705124499
15;39;-8.031238596783105;-34.94915700426645
16;41;-8.031238594931716;-34.94915701235717
17;46;-8.031238575924199;-34.94915709542302
18;47;-8.031238586033147;-34.94915705124499
19;48;-8.031238572217225;-34.949157111623286
20;50;-8.031238578175575;-34.949157085583984
21;56;-8.031238578175575;-34.949157085583984
22;58;-8.031238596193251;-34.94915700684417
23;59;-8.031238578175575;-34.949157085583984
24;61;-8.031238594931716;-34.94915701235717
25;65;-8.031238596738348;-34.94915700446209
26;68;-8.03123861586675;-34.94915692087077
27;69;-8.031238586033147;-34.94915705124499
28;70;-8.031238596193251;-34.94915700684417
29;73;-8.031238572217225;-34.949157111623286
30;76;-8.03123860369842;-34.9491569740463
31;79;-8.031238649125163;-34.94915677553747
32;80;-8.031238586033147;-34.94915705124499
33;81;-8.031238635686936;-34.949156834259206
34;87;-8.031238586033147;-34.94915705124499
35;88;-8.031238596783105;-34.94915700426645
36;91;-8.031238578175575;-34.949157085583984
37;92;-8.031238578175575;-34.949157085583984
38;93;-8.031238596193251;-34.94915700684417
39;95;-8.031238578175575;-34.949157085583984
40;96;-8.031238596193251;-34.94915700684417
41;99;-8.03123861586675;-34.94915692087077
42;100;-8.03123861586675;-34.94915692087077
43;101;-8.031238578175575;-34.949157085583984
44;102;-8.031238596193251;-34.94915700684417
45;103;-8.031238588498523;-34.949157040470986
46;104;-8.031238578175575;-34.949157085583984
47;106;-8.031238586033147;-34.94915705124499
48;107;-8.031238578175575;-34.949157085583984
49;108;-8.03123861586675;-34.94915692087077
50;111;-8.031238578175575;-34.949157085583984
51;118;-8.031238596193251;-34.94915700684417
52;119;-8.0312385921956;-34.949157024314225
53;122;-8.031238578175575;-34.949157085583984
54;131;-8.031238649125163;-34.94915677553747
55;132;-8.031238592144812;-34.949157024536255
56;135;-8.031238578175575;-34.949157085583984
57;144;-8.031238578175575;-34.949157085583984
58;149;-8.031238578175575;-34.949157085583984
59;151;-8.031238586033147;-34.94915705124499
60;157;-8.031238578175575;-34.949157085583984
61;164;-8.03123861586675;-34.94915692087077
62;167;-8.031238586033147;-34.94915705124499
63;168;-8.031238596193251;-34.94915700684417
64;169;-8.031238604893634;-34.94915696882308
65;172;-8.031238596193251;-34.94915700684417
66;176;-8.031238578175575;-34.949157085583984
67;177;-8.031238596193251;-34.94915700684417
68;179;-8.031238572217225;-34.949157111623286
69;180;-8.031238599837735;-34.949156990917515
70;181;-8.03123860052219;-34.949156987926436
71;185;-8.03123857309315;-34.94915710779531
72;196;-8.031238586033147;-34.94915705124499
73;199;-8.031238592366611;-34.94915702356696
74;209;-8.031238592144812;-34.949157024536255
75;211;-8.031238586033147;-34.94915705124499
76;212;-8.03123860052219;-34.949156987926436
77;214;-8.031238578175575;-34.949157085583984
78;217;-8.031238596783105;-34.94915700426645
79;218;-8.03123860369842;-34.9491569740463
80;221;-8.031238588498523;-34.949157040470986
81;222;-8.03123861586675;-34.94915692087077
82;229;-8.031238586033147;-34.94915705124499
83;230;-8.031238592366611;-34.94915702356696
84;233;-8.031238592366611;-34.94915702356696
85;239;-8.031238578175575;-34.949157085583984
86;245;-8.03123861586675;-34.94915692087077
87;247;-8.031238598022172;-34.94915699885167
88;248;-8.03123861586675;-34.94915692087077
89;251;-8.03123861586675;-34.94915692087077
90;252;-8.031238592144812;-34.949157024536255
91;257;-8.031238592366611;-34.94915702356696
92;263;-8.031238649125163;-34.94915677553747
93;265;-8.031238592366611;-34.94915702356696
94;267;-8.031238594931716;-34.94915701235717
95;274;-8.03123860052219;-34.949156987926436
96;286;-8.031238594931716;-34.94915701235717
97;288;-8.031238592366611;-34.94915702356696
98;291;-8.031238578175575;-34.949157085583984
99;292;-8.031238578175575;-34.949157085583984
100;300;-8.03123864393274;-34.949156798226966
101;304;-8.031238578175575;-34.949157085583984
102;308;-8.031238572217225;-34.949157111623286
103;311;-8.031238578175575;-34.949157085583984
104;315;-8.031238586033147;-34.94915705124499
105;316;-8.031238596193251;-34.94915700684417
106;318;-8.031238596783105;-34.94915700426645
107;319;-8.031238586033147;-34.94915705124499
108;321;-8.031238578175575;-34.949157085583984
109;323;-8.031238572217225;-34.949157111623286
110;328;-8.031238595028647;-34.94915701193357
111;330;-8.031238616243112;-34.94915691922615
112;332;-8.0312386344074;-34.94915683985053
113;333;-8.031238591945048;-34.94915702540922
114;334;-8.031238596783105;-34.94915700426645
115;335;-8.031238578175575;-34.949157085583984
116;337;-8.031238599837735;-34.949156990917515
117;346;-8.031238575924199;-34.94915709542302
118;350;-8.03123864393274;-34.949156798226966
119;353;-8.031238586033147;-34.94915705124499
120;354;-8.031238588498523;-34.949157040470986
121;360;-8.031238608277107;-34.94915695403732
122;367;-8.031238596193251;-34.94915700684417
123;379;-8.031238592366611;-34.94915702356696
124;381;-8.031238596193251;-34.94915700684417
125;385;-8.031238586033147;-34.94915705124499
